date,value
10-10-2020 00:00,93.24
10-10-2020 01:00,95.35
10-10-2020 02:00,98.84
10-10-2020 03:00,99.92
10-10-2020 04:00,99.8
10-10-2020 05:00,99.47
10-10-2020 06:00,100.39
10-10-2020 07:00,100.4
10-10-2020 08:00,100.81
10-10-2020 09:00,103.92
10-10-2020 10:00,105.06
10-10-2020 11:00,106.88
10-10-2020 12:00,107.34
10-10-2020 13:00,108.74
10-10-2020 14:00,109.36
10-10-2020 15:00,107.52
10-10-2020 16:00,107.34
10-10-2020 17:00,109.44
10-10-2020 18:00,110.02
10-10-2020 19:00,111.98
10-10-2020 20:00,113.54
10-10-2020 21:00,112.89
10-10-2020 22:00,110.69
10-10-2020 23:00,113.62
11-10-2020 00:00,114.35
11-10-2020 01:00,118.77
11-10-2020 02:00,121.19
11-10-2020 03:00,118.4
11-10-2020 04:00,121.33
11-10-2020 05:00,122.67
11-10-2020 06:00,123.64
11-10-2020 07:00,124.07
11-10-2020 08:00,124.49
11-10-2020 09:00,120.19
11-10-2020 10:00,120.38
11-10-2020 11:00,117.5
11-10-2020 12:00,118.75
11-10-2020 13:00,120.5
11-10-2020 14:00,125.09
11-10-2020 15:00,123.66
11-10-2020 16:00,121.55
11-10-2020 17:00,123.9
11-10-2020 18:00,123
11-10-2020 19:00,122.34
11-10-2020 20:00,119.65
11-10-2020 21:00,121.89
11-10-2020 22:00,120.56
11-10-2020 23:00,122.04
12-10-2020 00:00,121.26
12-10-2020 01:00,127.17
12-10-2020 02:00,132.75
12-10-2020 03:00,132.3
12-10-2020 04:00,130.33
12-10-2020 05:00,132.35
12-10-2020 06:00,132.39
12-10-2020 07:00,134.07
12-10-2020 08:00,137.73
12-10-2020 09:00,138.1
12-10-2020 10:00,138.91
12-10-2020 11:00,138.12
12-10-2020 12:00,140
12-10-2020 13:00,143.75
12-10-2020 14:00,143.7
12-10-2020 15:00,134.89
12-10-2020 16:00,137.26
12-10-2020 17:00,146
12-10-2020 18:00,143.85
12-10-2020 19:00,141.43
12-10-2020 20:00,131.76
12-10-2020 21:00,135
12-10-2020 22:00,136.49
